GEOID,Area (sq miles)
06047001603,1.0325538976832773e-10
06047000306,1.1405445463319289e-10
06007002402,2.5091847097490288e-08
06007002401,2.1590854322973e-08
06007001601,1.0719311933011542e-08
06007001602,1.2002019157528886e-08
06007000404,1.8105988880309488e-10
06007000403,7.187706196910281e-11
06037197420,2.321567316602168e-11
06037197500,2.41517472972961e-11
06037197600,1.464185308880619e-11
06037197700,2.646180328185085e-11
06031000405,1.7418455772200835e-10
06031000500,1.2179053117760618e-09
06031000602,1.0195620347489217e-10
06031000701,1.3153867239384023e-10
06031000702,1.6346887277991528e-10
06037199110,3.401512490347105e-11
06031000800,4.0574371274132636e-10
06037187102,8.263918725868462e-11
06037187200,3.588702548263241e-11
06037187300,4.409077104248838e-11
06053014110,1.9748688191119703e-09
06053014109,2.939490905598439e-09
06037670702,2.5518390308879714e-10
06037670201,1.8344122297297986e-10
06031001001,2.6545993667954107e-10
06087122204,2.332643611969105e-10
06087100802,2.9499795559834106e-11
06087121501,7.929879884167012e-11
06087122402,1.4202827268339715e-09
06087121502,2.1494715250969434e-11
06087122005,8.709367567567371e-11
06087121801,5.1143239575281064e-11
06087110402,7.977569710424073e-11
06087110504,2.009225154439445e-11
06087110602,2.7382939961394415e-11
06087122004,1.2963499768339928e-10
06087101001,3.8823848841702724e-11
06087110101,5.301837548263007e-11
06031001002,1.2461486602316494e-10
06075020602,9.721432239372911e-12
06031001003,2.1132847277993033e-10
06031001100,3.775776065637134e-10
06031001500,1.1433644594594738e-10
06037236400,5.05102889961432e-11
06037237500,1.2706395752894411e-11
06065042212,1.4436543552123468e-10
06065042719,1.034816890347492e-09
06065042723,1.325499280694962e-09
06065043218,1.867586891892006e-10
06065040807,7.549446718146363e-11
06065040808,6.535991814671642e-11
06037213201,1.2627464092667646e-11
06037213202,1.273921911197002e-11
06037502303,8.782502992276875e-11
06037533204,2.6809384169878088e-11
06037703003,7.612562528958426e-11
06037930400,5.650735261254828e-08
06037242202,1.5197631853294607e-11
06037128302,2.6010422007715605e-11
06037134306,2.3410994401535966e-11
06037119320,1.8763330888039523e-11
06037920326,2.7752617384170212e-09
06037294520,1.8194123938218924e-11
06037573202,2.439618976833489e-11
06037599100,5.35872042177606e-08
06037460001,1.962821909266239e-10
06037554511,8.912070231659267e-11
06037408503,1.5834376158300502e-10
06037243001,1.3049145366801953e-11
06037242201,1.542469652508872e-11
06037533504,1.536321486486157e-11
06037403328,1.0510186640926382e-10
06037131021,2.1245018146712205e-11
06037113238,2.6808714671802696e-11
06037113428,4.799340212354617e-11
06037113423,2.6846023552130093e-11
06037119801,2.313341061775517e-11
06037980035,6.008564048262907e-10
06037119004,3.2097731660226355e-11
06037134906,6.600276061772832e-12
06037101222,1.1204481081087605e-11
06037103201,7.387887413126263e-11
06037320102,4.6345795752908714e-11
06037501301,3.255787200771887e-11
06037408213,5.834087528956889e-11
06001450603,1.5455792432433444e-10
06067008910,6.365644459458392e-11
06067009004,5.512064362934786e-11
06037213310,1.1765646911190188e-11
06037213320,1.1741172779929183e-11
06067008911,2.1842979729726177e-11
06067008913,1.7861067065637428e-10
06037213401,7.393098069492716e-12
06037214700,2.237268861003253e-11
06037214800,2.176041254827032e-11
06037216100,2.545009517374942e-11
06037216700,2.932747432432558e-11
06067009503,1.5014876988414177e-10
06067009502,4.1347126409266835e-10
06067009504,8.88729965250881e-11
06037980031,9.748224187258095e-10
06037980033,1.075875930502024e-09
06037980025,1.4647228455597372e-10
06037980028,7.426161679536952e-10
06037980022,2.4394363552121695e-10
06037980030,1.9668488976833874e-10
06037408703,6.444652081080909e-10
06037408722,7.930547046333167e-11
06037980038,1.70181136872583e-10
06037980036,3.300627669883886e-10
06037980039,5.133557471042469e-11
06037980023,1.9721041795368006e-10
06037910214,1.6663790212353908e-10
06037910218,6.362522291505806e-10
06037910216,1.0569771447877349e-10
06031981800,8.793680540541138e-11
06001450604,8.332795888031351e-11
06001450605,6.982495501930688e-11
06065030300,9.348662200770624e-11
06065030400,1.031901303088987e-10
06065030501,7.081360347491039e-11
06035040200,8.106782859305015e-08
06035040500,6.145185985328234e-09
06035040100,3.141276930942085e-07
06035040400,1.6296253141505877e-08
06035040302,9.740460021235492e-09
06035040600,6.340472788127425e-08
06011000302,3.4072546344401516e-08
06011000301,4.243267566216268e-09
06037532102,3.850705250964888e-11
06037480201,5.7827503474913724e-11
06037430501,1.7780095926644223e-10
06065040901,7.81491266409297e-11
06065040903,3.2185417760613846e-11
06065040904,4.713362760616763e-11
06037213402,1.477224594594312e-11
06037214000,3.8145011389957764e-11
06037214100,4.1793053861000936e-11
06037214400,1.2982122393819675e-11
06067009005,6.260620971042558e-10
06067009006,1.1564399903474428e-10
06037216800,2.7892974517369014e-11
06037551203,2.720747297298205e-11
06037551001,5.412860714286133e-11
06037550501,3.354332297297909e-11
06037276605,8.955007335901536e-12
06037276607,1.8003791119681645e-11
06037550802,4.940152934363271e-11
06037217200,3.4647746525102766e-11
06037218110,2.2565491505779832e-11
06037218210,1.4644191891891288e-11
06037218220,2.5361173938233156e-11
06037218300,3.395660444015042e-11
06037650607,1.9020321428583495e-11
06037131023,2.224557316601728e-11
06037131801,2.478730888031512e-11
06037240301,1.7658451930493692e-11
06037500100,3.785854600386063e-10
06037240302,1.297768301159068e-11
06037502603,3.7119959652514646e-11
06037408725,7.335807471041973e-11
06037218400,2.4752006563717823e-11
06037218500,1.9723479922762996e-11
06037218600,1.6231862741312978e-11
06037218900,2.651243185327635e-11
06037219020,2.73794658301104e-11
06037271702,2.6627519691095035e-11
06037531202,1.6858865444010663e-11
06037224410,1.7085042857138703e-11
06037267404,1.0722769111975789e-11
06037267300,1.6221021235518326e-11
06037218800,1.5516446139000414e-11
06037209401,8.131116988418553e-12
06037232701,1.0453618918912953e-11
06037920106,1.7802916243243497e-09
06037232602,2.0020591698844782e-11
06037232601,9.94082451737459e-12
06037273403,3.001507027026615e-11
06037232702,1.7093719305017707e-11
06001450606,7.997006718148016e-11
06093001300,1.5626830179710413e-07
06009000220,1.0527429216409331e-08
06009000400,1.8495854522200777e-08
06093000902,1.304293444903478e-08
06095980000,5.611661106177632e-10
06065030502,7.27283691119541e-11
06065030503,2.0989609073361896e-11
06065030700,9.265822432431979e-11
06001451701,4.8213799420847184e-11
06065030800,1.6771417123553016e-10
06065031702,1.599489903474882e-10
06065031703,8.480247528957675e-11
06067009108,5.994909575289616e-11
06067009109,7.00935546332193e-11
06037219500,2.101358706562867e-11
06037219800,1.6814897683404028e-11
06037220000,3.6626315250968297e-11
06037220100,3.6985309073359695e-11
06037221120,1.1968483783774646e-11
06037221210,1.3525122972984399e-11
06037221220,2.4856965830114523e-11
06015000106,3.1799253625482376e-09
06015000107,3.539143237451826e-10
06001451501,1.9917378783784353e-10
06037232300,2.3689410424706592e-11
06037232500,2.8921947297301755e-11
06037232800,1.6073461003854723e-11
06037234200,3.3271820849407126e-11
06067007603,6.232031640927856e-11
06067006204,5.2282453088791687e-11
06067004019,3.497214189189056e-11
06067006502,8.721318397684577e-11
06067004015,6.797114054053314e-11
06067006706,5.958650888030267e-11
06067007027,1.0210011100386682e-10
06067009640,2.6284077413122494e-11
06067008802,4.710979907335474e-10
06057000107,2.030999188996154e-09
06057000404,3.3979996899613977e-09
06057000601,1.289283888030835e-10
06057000403,2.300801680115815e-09
06057001207,4.62348925868733e-10
06057000503,1.9578859613899508e-10
06057000504,2.4004809401544037e-10
06057000602,4.667498785714365e-10
06057001208,8.404237509652198e-10
06057001209,6.025045696911346e-10
06057000106,8.859944019305166e-10
06057001211,4.3644937007721215e-10
06057001210,4.143666177606401e-10
06037404402,1.2700608455597735e-10
06037500300,3.3755530752895815e-10
06037403325,6.441447611969401e-10
06037670405,5.634701698842379e-11
06037543305,3.1548074150578606e-10
06037543321,1.599693090733653e-10
06037543100,1.0884872258685771e-10
06037542200,5.214209884169644e-11
06037540201,9.818675482630321e-12
06037240600,2.544904266408599e-11
06037534102,3.0128593436292154e-11
06037239310,2.0146976447888057e-11
06037532800,2.0758287837841608e-11
06037501302,4.3071350579150244e-11
06037273404,8.176972007718015e-12
06037232401,2.1464469884173742e-11
06037231902,1.2210605984562331e-11
06037234302,1.3802554054060198e-11
06037231602,1.1869873938218357e-11
06037236101,2.3839646911202984e-11
06037234002,2.1276905212361917e-11
06037236206,1.0361369884173466e-11
06037265701,3.233961969111422e-11
06037216301,2.126048687258757e-11
06037265204,1.0002066988419244e-11
06037265203,1.168993841699584e-11
06001408000,7.72326017374417e-11
06001441401,7.310874382239076e-11
06065040202,5.816074749035239e-11
06065031704,9.828213262548031e-11
06031001402,5.193710366797359e-11
06031001401,8.407740347489829e-11
06069000502,1.33434500772186e-10
06069000802,1.1622960717586891e-07
06069000702,5.031498189189223e-10
06069000501,9.789362393824139e-11
06069000701,6.462501833977366e-11
06065043505,4.8681442857145074e-11
06065044104,1.626967409073348e-09
06065044403,3.987655178030887e-08
06065042007,5.038171734362906e-09
06069000801,3.3768359305020585e-10
06067009111,5.868125096525588e-11
06087122100,1.4957151138996795e-10
06087122500,5.105949237451842e-10
06087100100,1.281469225868725e-10
06087100600,4.101926949807057e-11
06001432400,3.268848843629176e-10
06029002819,6.317431583011079e-11
06029002821,6.921447741313115e-11
06029003112,1.1527029401544311e-10
06029003113,8.506232722006623e-11
06001404300,7.32942959459468e-11
06065040203,3.507216138996578e-11
06065040204,5.190648359074251e-11
06065040303,1.1518445675675104e-10
06065040402,1.8294788532818146e-10
06033001000,7.277276912162082e-09
06033001200,1.500543069131277e-08
06111003011,3.245335984555421e-11
06111005801,1.8030049266409318e-10
06111007405,1.3691597403474662e-09
06111007511,1.098478152316617e-09
06111007512,1.0049826725868799e-09
06111000303,1.415588186486476e-09
06029000300,5.817137876447891e-11
06037552700,5.1762308687254e-11
06037552800,4.868810482625186e-11
06037553000,4.7809459073349096e-11
06107003501,5.60650357335899e-10
06059990100,1.3376051728378381e-08
06059062649,1.2734920637065795e-10
06059032058,2.6182566814672935e-10
06059032061,3.168463594594429e-10
06041109002,9.908437142856512e-11
06041130201,5.938759401543645e-11
06041112202,2.635485652509076e-10
06041131100,5.4037068028957665e-09
06041990100,2.596839213378343e-08
06111007406,1.4008926332048854e-10
06111007509,2.2393789169883504e-10
06111007510,3.418226262548074e-10
06111007613,3.4346636158304396e-10
06111007614,3.19664865965253e-09
06111990100,3.3137391034555566e-08
06037601502,1.8479206370655278e-11
06037601600,3.4352660231661786e-11
06025011500,7.586248069497952e-11
06037602002,2.0203730694986197e-11
06037602003,2.3535486293438056e-11
06037602103,3.146845135134724e-11
06037602104,2.7999764864884057e-11
06037530700,3.9873734749037504e-11
06107001901,6.110333281853365e-11
06107001902,8.848594787643489e-11
06107002002,9.820993552122931e-11
06107002003,9.972068185329485e-11
06107002004,1.0031714729729396e-10
06037530801,2.8995149227794242e-11
06037530802,2.1350641891888394e-11
06037530901,1.6742447297299985e-11
06037531000,3.76905496138988e-11
06037531102,1.8785539189186966e-11
06037531201,2.0931802509652008e-11
06037531301,2.987470270270738e-11
06037531302,3.371166718146419e-11
06037541401,2.1601475675669972e-11
06037207711,2.616012451737377e-11
06037402503,3.295883918918937e-11
06037433506,6.169850714286366e-11
06037209202,9.162149034742874e-12
06037980017,9.025284324323871e-11
06037602801,4.719755656369762e-11
06037577800,6.627279729729502e-11
06037551204,2.5535148455599876e-11
06037980037,4.896582355212596e-11
06037536201,5.719911891892498e-11
06037406300,2.0323107625483564e-10
06037462900,8.850235984553915e-11
06037542105,2.3462409459444382e-11
06037543000,4.937637297297562e-11
06037602302,7.329785733590721e-11
06037602301,6.723307451737529e-11
06037541200,7.974108706562518e-11
06037602700,9.347169594594898e-11
06037503103,4.100559864864386e-11
06037540800,7.509928861005804e-11
06037602106,3.086220212354129e-11
06037602105,2.4038865830123762e-11
06037503502,4.605454903476038e-11
06037601700,2.8539848262547652e-11
06037542106,3.289426679536332e-11
06037503402,6.089807586871935e-11
06037601801,1.832642258687607e-11
06037502005,3.9255515250966014e-11
06037601402,3.702738050193297e-11
06107002008,5.048448185327636e-11
06107002009,7.153531158301126e-11
06107002302,1.0034218532819699e-10
06107002303,1.5875414884169622e-10
06065045124,2.313455512741312e-09
06065045217,1.0894790810811044e-10
06065046602,1.8242631525098253e-10
06065046700,1.2555997845559985e-09
06065047000,5.221626983976757e-09
06037501900,5.2476734362934106e-11
06037462500,9.692645000000817e-11
06037501600,3.884214411196929e-10
06037501002,5.5488671235524515e-11
06037408629,6.677663938224127e-11
06037504200,2.9064190868726454e-10
06037601802,1.822699054054168e-11
06037601202,2.463663590734009e-11
06037408628,8.887897567569179e-11
06037408626,9.405499382239395e-11
06037501501,2.39131989575311e-10
06037501200,5.297523918918246e-11
06037408141,4.2349329343623733e-11
06037408135,4.249687432432298e-11
06037408137,3.1304645559838246e-11
06037500403,8.292772258688229e-11
06037530202,6.777767316602437e-11
06037530302,3.225741003860357e-11
06037530301,2.20205677606127e-11
06037409000,2.9664741235520587e-10
06037408301,1.0244304131274051e-10
06037702202,3.812156196911414e-11
06065940100,2.7123979972972015e-09
06065941200,4.896170749034794e-10
06065941500,1.5388226484556175e-09
06065042744,1.3817939743242882e-09
06065043235,5.672783038609968e-10
06065043278,3.61607520077241e-10
06065045120,1.4455507953668083e-10
06065940400,4.332223762548321e-10
06065940600,1.077546970849384e-09
06065043279,7.540147173745396e-10
06071002602,7.585876911197765e-11
06009000301,7.6431046353282e-09
06009000124,1.6342271081274094e-08
06009000221,6.720146591505818e-09
06009000302,1.053695141486489e-08
06009000222,3.822798363320459e-09
06009000505,3.2491348976834197e-10
06009000506,1.5344765102316662e-09
06009000123,1.0776876791505705e-09
06037702300,9.767624884170306e-11
06037408302,1.280407604247255e-10
06037530500,3.3948589575286464e-11
06037530400,5.8136636100384955e-11
06037408004,2.3429000579149615e-11
06037407601,2.944665173745663e-11
06037408003,5.145741891892019e-11
06037434004,2.5798484749023727e-11
06037433804,5.7045782239378244e-11
06037482002,9.380904845560081e-11
06037407902,1.7744835714289937e-11
06037482522,6.189082374517228e-11
06037407501,4.264822123552493e-11
06037434100,9.40101635135146e-11
06037434003,3.6322175675687516e-11
06037406602,5.995560501930824e-11
06037402404,1.5423361370655744e-10
06037402403,7.661908571428231e-11
06037403500,1.8545012239383371e-10
06037800202,1.0333529662161873e-09
06037406101,5.2355220849423073e-11
06077005004,8.036987467181255e-10
06071000201,1.1174631216217035e-10
06071000808,9.676397277991712e-11
06077004701,5.41225115830135e-10
06077003110,5.315226312740324e-11
06077003215,4.2363847316602434e-10
06077005122,4.251931922779867e-10
06077003700,1.6602826223938442e-09
06077003803,1.749389449034773e-09
06077004001,1.189336434884169e-08
06077003308,2.0492977413124437e-11
06077003900,2.095494212992277e-08
06097151405,2.815261805019195e-10
06097153302,2.133830600386085e-10
06097153708,1.796808554633219e-09
06097152401,3.9461661312742764e-10
06097151205,5.613027557914854e-10
06097154308,1.3435789886099696e-09
06097153405,3.267698418918864e-10
06097154304,3.616739620193048e-08
06037980016,5.068896023166153e-10
06037113239,1.640555810810237e-11
06037113427,9.79317722007469e-12
06037226702,1.532333532819768e-11
06037800338,2.3997198088804113e-10
06037143402,2.446544613898862e-11
06037141305,2.6090028378391222e-11
06037128703,3.1250300772201576e-11
06037800205,4.909670463321168e-11
06037406000,7.203514691120291e-11
06037297002,2.879744401544979e-11
06037297001,2.5705698069498964e-11
06037403326,7.225029691119287e-11
06037405701,3.93744519305068e-11
06037670604,6.611633071428462e-10
06037403305,5.5808070077237586e-11
06037670603,1.4650040714286368e-10
06037405800,7.14970945946018e-11
06037480202,5.7155238416985854e-11
06037577605,6.851145694980863e-11
06037901007,1.979116588803071e-10
06037901101,1.983522565636947e-10
06037901102,1.938733216216223e-10
06037276601,8.435230038609457e-11
06037277000,8.658848687258712e-11
06073008331,3.552409729730422e-11
06073008336,3.0855093629344796e-11
06073008337,5.855624131274585e-11
06073011601,2.7232253088807217e-11
06073011602,3.784283030887994e-11
06073011700,6.053117258687619e-11
06073011801,2.41980206563702e-11
06073013307,4.851912837838387e-11
06037480102,4.634101003860834e-11
06037404501,3.037706158300685e-11
06037480012,4.840131737450792e-11
06037480002,5.296352683398708e-11
06037431200,5.613918474903391e-11
06037431800,5.1381971235514594e-11
06037431300,3.0815716216209036e-11
06037430802,7.016167567567002e-11
06107002304,3.822019054054539e-11
06071002901,4.890730096525077e-11
06073013308,5.967135637065893e-11
06073013309,9.374548552123085e-11
06073013312,3.2812083397694546e-11
06107002601,2.2012788976833404e-10
06107002602,1.1091423223939219e-10
06107002901,1.7603622915059835e-10
06107001400,4.847400294980733e-09
06107001502,4.980387861003945e-10
06107002500,4.8650104760618225e-09
06107002800,2.9572640945945526e-10
06107004200,1.5282451257915103e-08
06081610700,4.411877528956397e-11
06081610800,1.985435907335823e-11
06081611000,5.409054247104057e-11
06081611200,4.429690250965651e-11
